$oid,SPI          ,identifiant,password,nomDeNaissance,prenom   ,secondPrenom,titre,Gender,email,telephone,birthdate,AAAA,MM,JJ,departementDeNaissance,codeCommune,regionDeNaissance,codePaysDeNaissance,adresseFormatee,RFR  ,nombreDeParts,situationDeFamille,nombreDePersonnesACharge,nombreDEnfantsACharge,enfantsAChargeEnGardeAlternee,personnesInvalidesACharge,enfantsMajeursCelibataires,enfantsMajeursMariesOuChargeDeFamille,nbPacP,nomDeNaissanceDuDeclarant1,nomDUsageDuDeclarant1,prenomsDuDeclarant1,nomDeNaissanceDuDeclarant2,nomDUsageDuDeclarant2,prenomsDuDeclarant2,parentIsole,adresseFiscaleDeTaxation,createdAt,updatedAt
5b3e1280c1eb6856db7362bb,3999999887219,3_melaine,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,TROIS         ,MELAINE  EVELYNE SIMONE,EVELYNE SIMONE,MME  ,female,trois_melaine@mail.com,123456789,1981-07-27,1981,7,27,47,8,95277,99100,120 BOULEVARD FRANÇOIS ROBERT 13016 MARSEILLE,17827,2.75         ,M                 ,1,1,null                         ,null                     ,null                      ,null                                 ,0,TROIS                     ,TROIS                ,MELAINE            ,UNBIS           ,UN                   ,PRISCILLA          ,null       ,120 BOULEVARD FRANÇOIS ROBERT 13016 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362bc,3999999889221,tatiana_no_family_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,          ,TATIANA TONY RENE  ,TONY RENE  ,MME  ,male,cinq_tatiana@mail.com,123456789,1945-09-30,1945,9,30,54,9,95277,99100,Appartement 13 5 BOULEVARD BEAU SOLEIL 13015 MARSEILLE,15396,4,C                 ,2,1,1,null                     ,null                      ,null                                 ,0,CINQ                      ,CINQ                 ,TATIANA            ,null                      ,null                 ,null               ,X          ,Appartement 13 5 BOULEVARD BEAU SOLEIL 13015 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362bd,3999999890222,yvette_no_given_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SIX, ,,MME  ,female,six@mail.com,123456789,1971-03-25,1971,3,25,37,58,95277,99100,17 AVENUE DU MERLAN 13014 MARSEILLE ,15253,2.5,D,3,2,1,null,null                      ,null                                 ,0,SIX,SIX,,,,,T,17 AVENUE DU MERLAN 13014 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362be,3999999891223,raymond_no_birthdate,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SEPT,RAYMOND,,M,male,sept_raymond@mail.com,123456789,1950-10-12,1950,10,12,51,32,95277,99100,14 RUE NATIONALE 13001 MARSEILLE ,14059,2.75         ,O,4,4,null                         ,null,null,null,0,SEPT,SEPT,RAYMOND,,,RAYMOND,null       ,14 RUE NATIONALE 13001 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362bf,3999999892224,lucien_no_gender,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,HUIT,LUCIEN,,M,,huit_lucien@mail.com,123456789,1925-11-18,1925,11,18,46,42,95277,99100,42 RUE ABBÉ DE L'ÉPÉE 13005 MARSEILLE ,11347,3,V,5,5,null                         ,null,null,null,0,HUIT,HUIT,LUCIEN,null                      ,null                 ,null               ,null       ,42 RUE ABBÉ DE L'ÉPÉE 13005 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c0,3999999893225,alix_no_email,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,NEUF,ALIX,,MME  ,male,neuf_alix@mail.com,123456789,1964-08-17,1964,8,17,40,65,95277,99100,100 BOULEVARD BAILLE 13005 MARSEILLE ,7365,5,M                 ,6,3,null                         ,null,3,null,0,NEUF,NEUF,ALIX,NEUFBIS,NEUF,ALIX,null       ,100 BOULEVARD BAILLE 13005 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c1,3999999894226,guillaume_no_address,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIX,GUILLAUME,,M,male,dix_guillaume@mail.com,123456789,1990-01-18,1990,1,18,82,121,95277,99100,,37023,6,C                 ,7,4,null                         ,null,3,null,0,DIX,DIX,GUILLAUME,null                      ,null                 ,GUILLAUME,null       ,8 RUE JULIEN LACROIX 75020 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c2,3999999895227,remi_no_phone,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,ONZE,REMI MATHIEU,MATHIEU,M,male,onze_remi@mail.com,,1992-02-25,1992,2,25,67,21,95277,99100,14 RUE DE LA FONTAINE AU ROI 75011 PARIS ,35926,7,D,8,4,2,null,2,null,0,ONZE,ONZE,REMI,null                      ,null                 ,REMI,null       ,14 RUE DE LA FONTAINE AU ROI 75011 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c3,3999999896228,marcel_no_birthcountry,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DOUZE,MARCEL SEBASTIEN,,M,male,douze_marcel@mail.com,123456789,1943-09-08,1943,9,8,67,36,95277,,RESIDENCE PRESTIGE 3 RUE VOLTA 75003 PARIS,30509,7,O,9,6,null                         ,null,3,null,0,DOUZE,DOUZE,MARCEL,DOUZEBIS,DOUZE,COLETTE,null       ,RESIDENCE PRESTIGE 3 RUE VOLTA 75003 PARIS,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c4,3999999897229,sebastien_no_birthplace,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,TREIZE,SEBASTIEN LAURENT,LAURENT,M,male,treize_sebastien@gmail.com,123456789,1977-09-02,1977,9,2,9,225,,99100,57 RUE DU TEMPLE 75004 PARIS ,0,7,V,2,2,null                         ,null,null,null,0,TREIZE,TREIZE,SEBASTIEN,null                      ,null                 ,null               ,null       ,57 RUE DU TEMPLE 75004 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
